grid_id_0.25deg,lat_0.25deg,lng_0.25deg,GHM_0.25deg,viirs_dnb_avg_rad_0.25deg,viirs_dnb_cf_cvg_0.25deg,world_pop_density_0.25deg
2427,-11,117.5,,0.145593207,9.397628141,
2562,-11,117.75,,0.141715493,9.171155149,
2697,-11,118,,0.142328589,9.082315239,
2832,-11,118.25,,0.14635713,9.148601456,
2967,-11,118.5,,0.145308492,9.005027455,
3102,-11,118.75,,0.143313324,8.823873129,
3237,-11,119,,0.142200909,9.060320366,
3372,-11,119.25,,0.142522121,9.267622716,
3507,-11,119.5,,0.143833089,9.186468684,
3642,-11,119.75,,0.144010473,9.19636146,
3777,-11,120,,0.144968518,9.064632378,
3912,-11,120.25,,0.140356211,8.762754524,
4047,-11,120.5,,0.141576581,8.787729665,
4182,-11,120.75,,0.142806692,9.433860272,
4317,-11,121,,0.140475887,8.989595786,
4452,-11,121.25,,0.138743299,9.423571245,
4587,-11,121.5,,0.136879775,9.762604859,
4722,-11,121.75,,0.135677283,9.483806755,
4857,-11,122,,0.136371671,9.344664425,
4992,-11,122.25,,0.135995967,10.18332668,
5127,-11,122.5,,0.134707965,10.04750051,
5262,-11,122.75,0.414661583,0.170840121,9.880670285,106.2602949
5397,-11,123,0.322507651,0.163879856,9.222927934,106.2602932
5532,-11,123.25,,0.133186361,8.726730503,
5667,-11,123.5,,0.132289507,8.474511846,
5802,-11,123.75,,0.132722678,8.488576749,
5937,-11,124,,0.130663103,8.445584668,
6072,-11,124.25,,0.128972387,8.300156435,
6207,-11,124.5,,0.133592922,8.05823139,
6342,-11,124.75,,0.135461366,8.167262218,
6477,-11,125,,0.131541355,8.391860944,
6612,-11,125.25,,0.132120331,8.397551466,
6747,-11,125.5,,0.129259754,8.746833615,
6882,-11,125.75,,0.126967707,8.473369307,
7017,-11,126,,0.127416857,8.743674266,
7152,-11,126.25,,0.129412588,8.583977124,
7287,-11,126.5,,0.950792806,8.686419917,
7422,-11,126.75,,0.204133239,8.793909003,
7557,-11,127,,0.130047959,9.054195563,
7692,-11,127.25,,0.126874102,8.323437801,
7827,-11,127.5,,0.124337532,8.032811213,
7960,-11.5,127.75,,0.125121913,8.74537661,
15790,-11.5,142.25,0.014101648,0.146958985,9.066050427,0.002982439
15925,-11.5,142.5,0.014672752,0.153603138,8.948052211,0.002982439
16060,-11.5,142.75,0.0012045,0.15437356,9.25931493,0.002982439
16195,-11.5,143,,0.127084253,6.25,0.002982438
16330,-11.5,143.25,,0.120717021,5.497848097,
16465,-11.5,143.5,,0.122343954,5.535659805,
16600,-11.5,143.75,,0.124615416,5.722225253,
16735,-11.5,144,1.23E-04,0.124093285,5.236678844,0.002982438
16870,-11.5,144.25,,0.122524476,5.473856346,
17005,-11.5,144.5,,0.122303474,5.179758444,
17140,-11.5,144.75,,0.120391734,5.131555545,
17275,-11.5,145,,0.117978738,5.254690192,
17410,-11.5,145.25,,0.11731418,5.377221918,
17545,-11.5,145.5,,0.117663157,5.50433902,
17680,-11.5,145.75,,0.119380622,5.438421511,
17815,-11.5,146,,0.119547362,5.517139477,
17950,-11.5,146.25,,0.120806482,5.11970195,
18085,-11.5,146.5,,0.118063196,4.999583262,
18220,-11.5,146.75,,0.117485909,4.974993825,
18355,-11.5,147,,0.119086756,4.937947171,
18490,-11.5,147.25,,0.119408843,5.09466638,
18625,-11.5,147.5,,0.123435471,5.363132879,
18760,-11.5,147.75,,0.120801228,5.211475761,
18895,-11.5,148,,0.11954368,5.26603003,
19030,-11.5,148.25,,0.12263673,5.253148972,
19165,-11.5,148.5,,0.12427333,5.60123058,
19300,-11.5,148.75,,0.120945714,5.379620856,
19435,-11.5,149,,0.120547257,5.228259644,
19570,-11.5,149.25,,0.117788799,5.436285885,
19705,-11.5,149.5,,0.114933281,5.422690266,
19840,-11.5,149.75,,0.115725625,5.284241947,
19975,-11.5,150,,0.116861782,5.073138893,
20110,-11.5,150.25,,0.115343558,5.127281929,
20245,-11.5,150.5,,0.11657804,5.193581729,
20380,-11.5,150.75,,0.117579434,5.248580683,
20515,-11.5,151,,0.120674726,5.224932545,
20650,-11.5,151.25,,0.119355336,5.276150304,
20785,-11.5,151.5,,0.116172736,5.12931622,
20920,-11.5,151.75,,0.115813441,5.08319325,
21055,-11.5,152,,0.114834094,5.064735802,
21190,-11.5,152.25,,0.115966799,5.566377329,
21325,-11.5,152.5,,0.118316798,5.802952889,
21460,-11.5,152.75,,0.117366259,5.602265458,
21595,-11.5,153,,0.118487772,5.669098664,
21730,-11.5,153.25,0.172168042,0.145634594,7.254760469,20.03680835
21865,-11.5,153.5,0.140841203,0.150329554,7.22210597,20.03680851
22000,-11.5,153.75,0.153152714,0.146668703,7.164352225,20.03680841
22135,-11.5,154,0.180691596,0.145870255,6.222736404,20.03680833
22270,-11.5,154.25,0.227709351,0.147753621,5.784417227,20.03680833
22405,-11.5,154.5,0.12853843,0.120725253,4.999189058,20.03680801
22540,-11.5,154.75,,0.118317799,4.895750492,
22675,-11.5,155,,0.117033338,4.973104571,
22810,-11.5,155.25,,0.117427442,4.952505117,
22945,-11.5,155.5,,0.116825329,5.063140228,
23080,-11.5,155.75,,0.113052638,4.947964761,
23215,-11.5,156,,0.111608133,4.899296865,
23350,-11.5,156.25,,0.114066112,4.924728043,
23485,-11.5,156.5,,0.117444686,4.887814391,
23620,-11.5,156.75,,0.120254889,4.622639538,
8095,-11.5,128,,0.123451305,8.707149145,
8230,-11.5,128.25,,0.124189982,8.867415,
8365,-11.5,128.5,,0.122773611,9.047290254,
8500,-11.5,128.75,,0.121408813,8.019627216,
8635,-11.5,129,,0.120589785,7.705084177,
8770,-11.5,129.25,,0.119417367,7.714901503,
8905,-11.5,129.5,,0.119329903,7.905242551,
9040,-11.5,129.75,,0.120881546,8.052771881,
